id,authors,title,average_rating
1813,Tracey Garvis-Graves,"On the Island (On the Island, #1)",4.13
1814,Lisa Genova,Left Neglected,3.95
1815,"Miep Gies, Alison Leslie Gold",Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,4.26
1816,John Scalzi,Redshirts,3.84
1817,Clive Cussler,"Sahara (Dirk Pitt, #11)",3.95
1818,Jeaniene Frost,"One Foot in the Grave (Night Huntress, #2)",4.31
1819,Liane Moriarty,The Last Anniversary,3.72
1820,Michael  Grant,"Hunger (Gone, #2)",4.02
1821,Janet Evanovich,"Fearless Fourteen (Stephanie Plum, #14)",4.02
1822,Chetan Bhagat,"Revolution 2020: Love, Corruption, Ambition",3.07
1823,"Michael Bond, Peggy Fortnum","A Bear Called Paddington (Paddington, #1)",4.21
1824,Sara Shepard,"Flawless (Pretty Little Liars, #2)",3.96
1825,Beverly Cleary,"Ramona Quimby, Age 8 (Ramona, #6)",4.08
1826,Nelson DeMille,The General's Daughter,4.07
1827,"Lemony Snicket, Brett Helquist","The Hostile Hospital (A Series of Unfortunate Events, #8)",3.95
1828,Rumiko Takahashi,"InuYasha: Turning Back Time (InuYasha, #1)",4.26
1829,David Seltzer,The Omen,3.99
1830,Alyson Noel,"Blue Moon (The Immortals, #2)",3.61
1831,David Baldacci,"The Innocent (Will Robie, #1)",4.1
1832,Tom Rob Smith,"Child 44 (Leo Demidov, #1)",4.08
1833,Nancy E. Turner,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901, Arizona Territories (Sarah Agnes Prine, #1)",4.35
1834,Liane Moriarty,The Hypnotist's Love Story,3.69
1835,"Paulo Coelho, Amanda Hopkinson, Nick Caistor","The Devil and Miss Prym (On the Seventh Day, #3)",3.59
1836,"Audrey Penn, Ruth E. Harper, Nancy M. Leak",The Kissing Hand,4.41
1837,Hugh Howey,"Shift (Silo, #2)",4.12
1838,Lee Child,"Worth Dying For (Jack Reacher, #15)",4.2
1839,John Elder Robison,Look Me in the Eye: My Life with Asperger's,3.91
1840,Sherrilyn Kenyon,Fantasy Lover (Dark-Hunterverse #1),4.17
1841,"James Patterson, Gabrielle Charbonnet",Sundays at Tiffany's,3.74
1842,Jodi Picoult,Perfect Match,3.93
1843,Curtis Sittenfeld,Prep,3.36
1844,"Anthony Kiedis, Larry Sloman",Scar Tissue,4.1
1845,"Margaret Atwood, Brigitte Walitzek",Alias Grace,3.97
1846,Sylvia Day,"Captivated by You (Crossfire, #4)",4.06
1847,Richard Bach,Illusions: The Adventures of a Reluctant Messiah,4.14
1848,Gail Carriger,"Soulless (Parasol Protectorate, #1)",3.91
1849,Gayle Forman,"Just One Day (Just One Day, #1)",4.02
1850,Lisa McMann,"Wake (Wake, #1)",3.75
1851,Siddhartha Mukherjee,The Emperor of All Maladies: A Biography of Cancer,4.29
1852,Ellen Hopkins,"Glass (Crank, #2)",4.28
1853,"Gabriel García Márquez, Edith Grossman",Memories of My Melancholy Whores,3.59
1854,Jeffrey Archer,"Only Time Will Tell (The Clifton Chronicles, #1)",4.04
1855,Deepak Chopra,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,4.07
1856,Augusten Burroughs,Magical Thinking: True Stories,3.96
1857,Tamora Pierce,"In the Hand of the Goddess (Song of the Lioness, #2)",4.25
1858,"James Patterson, Andrew Gross","3rd Degree (Women's Murder Club, #3)",4
1859,Anne Lamott,Bird by Bird: Some Instructions on Writing and Life,4.22
1860,"Kerstin Gier, Anthea Bell","Ruby Red (Precious Stone Trilogy, #1)",4.12
1861,Alyson Noel,"Shadowland (The Immortals, #3)",3.66
1862,Timothy Zahn,Heir to the Empire (Star Wars: The Thrawn Trilogy #1),4.12
1863,Tamora Pierce,"Lioness Rampant (Song of the Lioness, #4)",4.28
1864,Robin Cook,"Outbreak (Dr. Marissa Blumenthal, #1)",3.96
1865,Louise L. Hay,You Can Heal Your Life,4.14
1866,Emma Straub,The Vacationers,3.14
1867,"Oliver Pötzsch, Lee Chadeayne","The Hangman's Daughter (The Hangman's Daughter, #1)",3.71
1868,Richard Matheson,I Am Legend,4.07
1869,"Patricia C. Wrede, Peter de Sève","Dealing with Dragons (Enchanted Forest Chronicles, #1)",4.14
1870,Lee Child,"Running Blind (Jack Reacher, #4)",4.08
1871,John Sandford,"Rules of Prey (Lucas Davenport, #1)",4.13
1872,Tami Hoag,"Ashes to Ashes (Kovac and Liska, #1)",4.03
1873,Michael Chabon,The Yiddish Policemen's Union,3.69
1874,Melanie Benjamin,The Aviator's Wife,3.87
1875,David Shannon,A Bad Case of Stripes,4.24
1876,Lee Child,"The Affair (Jack Reacher, #16)",4.11
1877,"William Strunk Jr., E.B. White",The Elements of Style,4.19
1878,Henry James,The Turn of the Screw,3.45
1879,Jennifer Weiner,Best Friends Forever,3.48
1880,R.A. Salvatore,"Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)",4.27
1881,"Larry Niven, Jerry Pournelle",The Mote in God's Eye,4.06
1882,"Jo Nesbø, Don Bartlett","The Snowman (Harry Hole, #7)",4.04
1883,"John  Williams, John McGahern",Stoner,4.28
1884,"David Cote, Stephen Schwartz, Joan Marcus, Winnie Holzman",Wicked: The Grimmerie,4.17
1885,William Shakespeare,As You Like It,3.83
1886,"Garth Ennis, Steve Dillon, Joe R. Lansdale","Preacher, Volume 1: Gone to Texas",4.16
1887,"Edmond Rostand, Eteel Lawson, Lowell Bair",Cyrano de Bergerac,4.05
1888,Anne Fadiman,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",4.14
1889,Patricia Briggs,"Bone Crossed (Mercy Thompson, #4)",4.34
1890,Richelle Mead,"The Indigo Spell (Bloodlines, #3)",4.41
1891,Karen Marie Moning,"Dreamfever (Fever, #4)",4.43
1892,Kate Atkinson,Case Histories (Jackson Brodie #1),3.82
1893,J. Kenner,"Release Me (Stark Trilogy, #1)",4.14
1894,Sophie Kinsella,Wedding Night,3.4
1895,"Neil Gaiman, Steve Parkhouse, Chris Bachalo, Michael Zulli, Mike Dringenberg, Malcolm Jones III, Todd Klein, Clive Barker",The Doll's House (The Sandman #2),4.44
1896,Eleanor H. Porter,"Pollyanna (Pollyanna, #1)",3.95
1897,Dave Pelzer,The Lost Boy (Dave Pelzer #2),4.08
1898,Hugh Howey,"Dust (Silo, #3)",4.26
1899,Jodi Picoult,Lone Wolf,3.67
1900,Stephen King,Nightmares and Dreamscapes,3.9
1901,Karen Marie Moning,"Shadowfever (Fever, #5)",4.46
1902,John Grisham,The Associate,3.64
1903,Lois Lowry,"Son (The Giver, #4)",3.98
1904,"Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein",The Sandman: Overture,3.94
1905,Anthony  Ryan,"Blood Song (Raven's Shadow, #1)",4.47
1906,Simone Elkeles,"Rules of Attraction (Perfect Chemistry, #2)",4.22
1907,Howard Pyle,The Merry Adventures of Robin Hood,4.05
1908,Bret Easton Ellis,Less Than Zero,3.58
1909,Lawrence Hill,Someone Knows My Name,4.44
1910,"Anonymous, Richard Francis Burton, A.S. Byatt",The Arabian Nights,4.06
1911,Tana French,"Faithful Place (Dublin Murder Squad, #3)",3.97
1912,Lily King,Euphoria,3.84
1913,Marian Keyes,"Rachel's Holiday (Walsh Family, #2)",3.93
1914,Isaac Asimov,The Caves of Steel (Robot #1),4.14
1915,Haruki Murakami,"Dance Dance Dance (The Rat, #4)",4.03
1916,"Beverly Cleary, Louis Darling, Tracy Dockray","The Mouse and the Motorcycle (Ralph S. Mouse, #1)",3.9
1917,Carrie Ryan,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",3.59
1918,Terry Brooks,"The Elfstones of Shannara  (The Original Shannara Trilogy, #2)",3.96
1919,"Rachel Cohn, David Levithan","Dash & Lily's Book of Dares (Dash & Lily, #1)",3.82
1920,Eleanor Catton,The Luminaries,3.7
1921,"Laura Joffe Numeroff, Felicia Bond",If You Give a Moose a Muffin,4.17
1922,Dean Koontz,Velocity,3.85
1923,David Sedaris,Barrel Fever: Stories and Essays,3.78
1924,Terry Pratchett,"Reaper Man (Discworld, #11; Death, #2)",4.27
1925,Frank E. Peretti,"Piercing the Darkness (Darkness, #2)",4.3
1926,"Chip Heath, Dan Heath",Made to Stick: Why Some Ideas Survive and Others Die,3.97
1927,Piers Paul Read,Alive: The Story of the Andes Survivors,4.08
1928,Zadie Smith,On Beauty,3.68
1929,Joyce Meyer,Battlefield of the Mind: Winning the Battle in Your Mind,4.33
1930,Nora Roberts,"Dance Upon the Air (Three Sisters Island, #1)",4.19
1931,David Eddings,"Castle of Wizardry (The Belgariad, #4)",4.16
1932,J.R. Ward,"Lover Unleashed (Black Dagger Brotherhood, #9)",4.28
1933,أثير عبدالله النشمي,أحببتك أكثر مما ينبغي,3.67
1934,Richard Castle,"Heat Wave (Nikki Heat, #1)",3.54
1935,Amazon,Kindle Paperwhite User's Guide,3.72
1936,John Irving,A Widow for One Year,3.74
1937,C.S. Lewis,"Out of the Silent Planet (Space Trilogy, #1)",3.92
1938,"Roald Dahl, Quentin Blake","Charlie and the Great Glass Elevator (Charlie Bucket, #2)",3.64
1939,"Laura Joffe Numeroff, Felicia Bond",If You Give a Pig a Pancake ,4.23
1940,Iain Banks,The Wasp Factory,3.85
1941,Marisha Pessl,Night Film,3.78
1942,Rob Lowe,Stories I Only Tell My Friends,3.77
1943,Kevin Kwan,Crazy Rich Asians (Crazy Rich Asians #1),3.7
1944,Libba Bray,"Rebel Angels (Gemma Doyle, #2)",3.98
1945,Karen Marie Moning,"Bloodfever (Fever, #2)",4.3
1946,Karen Marie Moning,"Faefever (Fever, #3)",4.34
1947,Robert Dugoni,My Sister's Grave (Tracy Crosswhite #1),4
1948,Ransom Riggs,"Library of Souls (Miss Peregrine's Peculiar Children, #3)",4.15
1949,E.M. Forster,Howards End,3.95
1950,"Mike Mignola, John Byrne","Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1)",4.11
1951,Michelle Hodkin,"The Evolution of Mara Dyer (Mara Dyer, #2)",4.33
1952,Rick Riordan,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",4.26
1953,"Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel","The Man in the Iron Mask (The D'Artagnan Romances, #3.3)",3.97
1954,"Shirley Jackson, Laura   Miller",The Haunting of Hill House,3.89
1955,Hunter S. Thompson,The Rum Diary,3.83
1956,"Laura Ingalls Wilder, Garth Williams","Little Town on the Prairie  (Little House, #7)",4.18
1957,Dodie Smith,I Capture the Castle,4
1958,"P.C. Cast, Kristin Cast","Destined (House of Night, #9)",4.04
1959,Janet Evanovich,"Finger Lickin' Fifteen (Stephanie Plum, #15)",3.98
1960,Charles Bukowski,Women,3.89
1961,John Jakes,"North and South (North and South, #1)",4.19
1962,Patricia Briggs,"Silver Borne (Mercy Thompson, #5)",4.38
1963,Robert Ludlum,"The Bourne Ultimatum (Jason Bourne, #3)",4.04
1964,Robin Hobb,"Fool's Errand (Tawny Man, #1)",4.29
1965,Marie Lu,"The Young Elites (The Young Elites, #1)",3.93
1966,Nora Roberts,"Jewels of the Sun (Gallaghers of Ardmore, #1)",4.22
1967,"Marcus Aurelius, Martin Hammond, Diskin Clay",Meditations,4.2
1968,"Dave Barry, Ridley Pearson, Greg Call","Peter and the Starcatchers (Peter and the Starcatchers, #1)",4.01
1969,Jared Diamond,Collapse: How Societies Choose to Fail or Succeed,3.92
1970,A.S. Byatt,Possession,3.88
1971,Melissa de la Cruz,"Revelations (Blue Bloods, #3)",3.89
1972,Tom Clancy,"Without Remorse (Jack Ryan Universe, #1)",4.16
1973,Sigmund Freud,The Interpretation of Dreams,3.81
1974,Peter Straub,Ghost Story,3.95
1975,"Lemony Snicket, Brett Helquist","The Penultimate Peril (A Series of Unfortunate Events, #12)",4.02
1976,Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,3.89
1977,"Lemony Snicket, Brett Helquist","The End (A Series of Unfortunate Events, #13)",3.99
1978,Mary Karr,The Liars' Club,3.92
1979,Charlaine Harris,"Dead Ever After (Sookie Stackhouse, #13)",3.39
1980,Ray Bradbury,The Illustrated Man,4.13
1981,Raine Miller,"Naked (The Blackstone Affair, #1)",4.02
1982,Jeff VanderMeer,"Annihilation (Southern Reach, #1)",3.62
1983,Abbi Glines,"Breathe (Sea Breeze, #1)",3.88
1984,"Margaret Wise Brown, Clement Hurd",The Runaway Bunny,4.14
1985,"Stephen Hawking, Leonard Mlodinow",The Grand Design,4
1986,John Grisham,The Innocent Man: Murder and Injustice in a Small Town,3.79
1987,"Richard Bachman, Stephen King",The Bachman Books,4.1
1988,Reza Aslan,Zealot: The Life and Times of Jesus of Nazareth,3.82
1989,Terry Goodkind,"Soul of the Fire (Sword of Truth, #5)",3.87
1990,"Jan-Philipp Sendker, Kevin Wiliarty",The Art of Hearing Heartbeats,3.98
1991,Iain M. Banks,"Consider Phlebas (Culture, #1)",3.85
1992,David J. Schwartz,The Magic of Thinking Big,4.19
1993,Anne Rice,"The Vampire Armand (The Vampire Chronicles, #6)",3.75
1994,Abbi Glines,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",4.24
1995,George R.R. Martin,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",4.49
1996,"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",Pinocchio,3.86
1997,Robin LaFevers,"Grave Mercy (His Fair Assassin, #1)",3.92
1998,Stormie Omartian,The Power of a Praying Wife,4.31
1999,Henry Miller,Tropic of Cancer,3.71
2000,Wally Lamb,The Hour I First Believed,3.8
2001,Brian Sibley,Harry Potter: Film Wizardry,4.48
2002,"Leo Tolstoy, Aylmer Maude",The Death of Ivan Ilych,4.04
2003,Paula McLain,Circling the Sun,3.93
2004,John Steinbeck,Travels with Charley: In Search of America,4.07
2005,Alice Hoffman,The Dovekeepers,4.02
2006,Scott Lynch,"The Republic of Thieves (Gentleman Bastard, #3)",4.23
2007,Cornelia Funke,The Thief Lord,3.95
2008,Susan Ee,"World After (Penryn & the End of Days, #2)",4.22
2009,Dean Koontz,"Brother Odd (Odd Thomas, #3)",3.98
2010,John Howard Griffin,Black Like Me,4.12
2011,Chuck Palahniuk,Snuff,3.18
2012,James Patterson,"Jack & Jill (Alex Cross, #3)",3.95
2013,Ian McEwan,Saturday,3.61
2014,Jonathan Kellerman,"When the Bough Breaks (Alex Delaware, #1)",4.02
2015,Robert James Waller,The Bridges of Madison County,3.51
2016,Lee Child,"Gone Tomorrow (Jack Reacher, #13)",4.17
2017,Michael Scott,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",4.11
2018,Hilary Mantel,"Bring Up the Bodies (Thomas Cromwell, #2)",4.26
2019,Rick Riordan,"The Maze of Bones  (The 39 Clues, #1)",3.83
2020,Mark Bittman,How to Cook Everything: Simple Recipes for Great Food,4.02
2021,Stephenie Meyer,"The Twilight Collection (Twilight, #1-3)",3.78
2022,Wassily Kandinsky,Concerning the Spiritual in Art,3.81
2023,Winston Groom,"Forrest Gump (Forrest Gump, #1)",4.06
2024,"Albert Camus, Justin O'Brien",The Fall,4.05
2025,Tom Robbins,Even Cowgirls Get the Blues,3.74
2026,"Wilkie Collins, Carolyn G. Heilbrun",The Moonstone,3.9
2027,"Italo Calvino, William Weaver",If on a Winter's Night a Traveler,4.08
2028,"Gregory Maguire, Douglas Smith","Son of a Witch (The Wicked Years, #2)",3.45
2029,Ian McEwan,On Chesil Beach,3.54
2030,Sue Grafton,"M is for Malice (Kinsey Millhone, #13)",4.07
2031,Patricia Cornwell,"Point of Origin (Kay Scarpetta, #9)",4.02
2032,Patricia MacLachlan,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",3.72
2033,يوسف زيدان,عزازيل,4.07
2034,Christopher Moore,"Bloodsucking Fiends (A Love Story, #1)",3.93
2035,"David Sedaris, Ian Falconer",Squirrel Seeks Chipmunk: A Modest Bestiary,3.34
2036,Brené Brown,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.17
2037,Ann Patchett,Commonwealth,3.84
2038,Melissa de la Cruz,"The Van Alen Legacy (Blue Bloods, #4)",3.95
2039,Robert McCloskey,Blueberries for Sal,4.18
2040,Colleen Hoover,"Losing Hope (Hopeless, #2)",4.39
2041,Stephen King,Lisey's Story,3.65
2042,Eben Alexander,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,3.68
2043,Terry Pratchett,"Men at Arms (Discworld, #15; City Watch #2)",4.36
2044,A.J. Jacobs,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,3.76
2045,Frank Herbert,God Emperor of Dune (Dune Chronicles #4),3.81
2046,Emily Giffin,The One & Only,3.11
2047,Jean M. Auel,"The Valley of Horses (Earth's Children, #2)",3.98
2048,Harlan Coben,Six Years,3.8
2049,Beverly Cleary,"Ramona the Pest (Ramona, #2)",4.04
2050,L.J. Smith,"Night World, No. 2 (Night World, #4-6)",4.2
2051,Katherine Dunn,Geek Love,3.98
2052,"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald","The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)",3.96
2053,Robert Penn Warren,All the King's Men,4.08
2054,Ann Brashares,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",3.82
2055,Harlan Coben,The Woods,4.04
2056,Robert Jordan,"New Spring (Wheel of Time, #0)",4.01
2057,John Grisham,The Litigators,3.77
2058,"Fredrik Backman, Henning Koch",My Grandmother Asked Me to Tell You She's Sorry,4.02
2059,Vince Flynn,"American Assassin (Mitch Rapp, #1)",4.24
2060,Brené Brown,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.24
2061,Hannah Kent,Burial Rites,4.01
2062,Sarah Waters,Fingersmith,4.02
2063,Peter Mayle,A Year in Provence,3.94
2064,"Kate DiCamillo, Bagram Ibatoulline",The Miraculous Journey of Edward Tulane,4.34
2065,Jojo Moyes,The Last Letter from Your Lover,3.94
2066,Martin Cruz Smith,"Gorky Park (Arkady Renko, #1)",4.04
2067,Tara Conklin,The House Girl,3.75
2068,Karen Hesse,Out of the Dust,3.73
2069,Meg Cabot,"Queen of Babble (Queen of Babble, #1)",3.71
2070,Jeff Kinney,"The Third Wheel (Diary of a Wimpy Kid, #7)",4.21
2071,Elizabeth Wein,"Code Name Verity (Code Name Verity, #1)",4.08
2072,Ellen Hopkins,"Burned (Burned, #1)",4.24
2073,Sidney Sheldon,Master of the Game,4.09
2074,Patricia Cornwell,"The Body Farm (Kay Scarpetta, #5)",4.04
2075,Meg Cabot,"The Boy Next Door (Boy, #1)",3.83
2076,"Anonymous, N.K. Sandars",The Epic of Gilgamesh,3.63
2077,Anna Godbersen,"The Luxe (Luxe, #1)",3.63
2078,Beatrix Potter,The Complete Tales,4.36
2079,Philip Roth,"American Pastoral (The American Trilogy, #1)",3.91
2080,Elizabeth Gilbert,Big Magic: Creative Living Beyond Fear,3.9
2081,Jim Butcher,"Skin Game (The Dresden Files, #15)",4.55
2082,Anonymous,The Qur'an / القرآن الكريم,4.34
2083,Gena Showalter,The Darkest Night (Lords of the Underworld #1),4.09
2084,Neal Stephenson,Anathem,4.18
2085,Barbara Kingsolver,The Lacuna,3.76
2086,Terry Pratchett,"Hogfather (Discworld, #20; Death, #4)",4.22
2087,Elizabeth Berg,Open House,3.68
2088,Jeannette Walls,The Silver Star,3.68
2089,John Irving,The Hotel New Hampshire,3.89
2090,Laurell K. Hamilton,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",4.11
2091,Nora Roberts,"Key of Light (Key Trilogy, #1)",4.16
2092,Ellen Hopkins,Identical,4.34
2093,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",The Stand: Soul Survivors,4.52
2094,"Janet Evanovich, Lorelei King","Smokin' Seventeen (Stephanie Plum, #17)",3.94
2095,Dr. Seuss,The Sneetches and Other Stories,4.31
2096,"Bill Martin Jr., Eric Carle","Polar Bear, Polar Bear, What Do You Hear?",4.16
2097,Hermann Hesse,Demian. Die Geschichte von Emil Sinclairs Jugend,4.1
2098,Kurt Vonnegut Jr.,"God Bless You, Mr. Rosewater",3.94
2099,"Yoshiki Nakamura, Tomo Kimura","Skip Beat!, Vol. 01",4.26
2100,Frank Miller,Batman: The Dark Knight Returns #1,4.21
2101,"J.K. Rowling, Mary GrandPré","The Harry Potter Collection 1-4 (Harry Potter, #1-4)",4.66
2102,Paolo Bacigalupi,The Windup Girl,3.74
2103,"Oscar Wilde, Richard Allen Cave",The Importance of Being Earnest and Other Plays,4.26
2104,Stephanie Perkins,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",4.1
2105,Ilona Andrews,"Magic Bites (Kate Daniels, #1)",4.07
2106,Jodi Ellen Malpas,"This Man Confessed (This Man, #3)",4.43
2107,"Irène Némirovsky, Sandra Smith",Suite Française,3.82
2108,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",The Letters of Vincent van Gogh,3.99
2109,Terry Pratchett,"Sourcery (Discworld, #5; Rincewind #3)",3.87
2110,Bryan Lee O'Malley,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",4.24
2111,"Grant Morrison, Dave McKean",Batman: Arkham Asylum - A Serious House on Serious Earth,4.09
2112,Jenny Han,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",4.17
2113,David Baldacci,"Memory Man (Amos Decker, #1)",4.05
2114,Hillary Jordan,Mudbound,3.99
2115,Mark Bowden,Black Hawk Down,4.28
2116,"V.E. Schwab, Victoria Schwab","A Darker Shade of Magic (Shades of Magic, #1)",4.07
2117,David Grann,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,3.86
2118,Brandon Sanderson,"Firefight (The Reckoners, #2)",4.29
2119,Trudi Canavan,"The Magicians' Guild (Black Magician Trilogy, #1)",3.96
2120,Michael Scott,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",4.12
2121,Lee Child,"61 Hours (Jack Reacher, #14)",4.08
2122,Patricia McCormick,Cut,3.76
2123,"Roald Dahl, Quentin Blake",George's Marvellous Medicine,4.02
2124,Jane Smiley,A Thousand Acres,3.79
2125,Lloyd Alexander,"The Book of Three (The Chronicles of Prydain, #1)",4
2126,Patricia Briggs,"Cry Wolf (Alpha & Omega, #1)",4.11
2127,Ian Falconer,Olivia,4.13
2128,Kent Haruf,"Plainsong (Plainsong, #1)",4
2129,Daniel Clowes,Ghost World,3.87
2130,Amanda Hocking,"Torn (Trylle, #2)",4.04
2131,"Ivan Turgenev, George Reavy, Jane Costlow",Fathers and Sons,3.94
2132,"Eliyahu M. Goldratt, Jeff Cox",The Goal: A Process of Ongoing Improvement,4
2133,Geraldine Brooks,Caleb's Crossing,3.81
2134,Claudia Gray,"Evernight (Evernight, #1)",3.64
2135,Lee Child,"Bad Luck and Trouble (Jack Reacher, #11)",4.17
2136,Karen Joy Fowler,The Jane Austen Book Club,3.07
2137,Ian McEwan,The Children Act,3.68
2138,Janet Evanovich,"Sizzling Sixteen (Stephanie Plum, #16)",3.93
2139,Ashlee Vance,Elon Musk: Inventing the Future,4.25
2140,James S.A. Corey,"Caliban's War (The Expanse, #2)",4.28
2141,Rebecca Donovan,"Barely Breathing (Breathing, #2)",4.33
2142,"Homer, Robert Fagles, Bernard Knox",The Iliad/The Odyssey,4.03
2143,"Mark Waid, Alex Ross, Elliot S. Maggin",Kingdom Come,4.24
2144,Henri Charrière,Papillon,4.23
2145,Sarah Waters,Tipping the Velvet,4
2146,"Chris Colfer, Brandon Dorman","The Wishing Spell (The Land of Stories, #1)",4.21
2147,David Ebershoff,The 19th Wife,3.63
2148,Walter Dean Myers,Monster,3.7
2149,George R.R. Martin,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",4.63
2150,Patricia Cornwell,"Body of Evidence (Kay Scarpetta, #2)",4
2151,"Brian K. Vaughan, Fiona Staples",Saga #1,4.15
2152,Sara Shepard,"Perfect (Pretty Little Liars, #3)",4.02
2153,Jessica Sorensen,"The Secret of Ella and Micha (The Secret, #1)",4.01
2154,Kevin Hearne,"Hounded (The Iron Druid Chronicles, #1)",4.12
2155,Stephen King,From a Buick 8,3.42
2156,Kim Stanley Robinson,"Red Mars (Mars Trilogy, #1)",3.84
2157,"Charlotte Perkins Gilman, Elaine Hedges",The Yellow Wall-Paper,4.11
2158,"H.G. Wells, Alfred MacAdam",The Time Machine/The Invisible Man,4.08
2159,Nora Roberts,"Sea Swept (Chesapeake Bay Saga, #1)",4.24
2160,Brent Weeks,"The Blinding Knife (Lightbringer, #2)",4.45
2161,Morgan Matson,Since You've Been Gone,4.19
2162,Steve Martin,An Object of Beauty,3.58
2163,"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",What to Expect When You're Expecting,3.75
2164,John Flanagan,"The Icebound Land (Ranger's Apprentice, #3)",4.22
2165,Marian Keyes,"Anybody Out There? (Walsh Family, #4)",3.91
2166,"Peter Thiel, Blake  Masters","Zero to One: Notes on Startups, or How to Build the Future",4.17
2167,Sarah J. Maas,"Empire of Storms (Throne of Glass, #5)",4.58
2168,"Charles Dickens, Katharine Kroeber Wiley","A Christmas Carol, The Chimes and The Cricket on the Hearth",4.11
2169,Gillian Flynn,The Grownup,3.54
2170,Neil Gaiman,Smoke and Mirrors: Short Fiction and Illusions,4.05
2171,Amish Tripathi,"The Oath of the Vayuputras (Shiva Trilogy, #3)",3.66
2172,Kurt Vonnegut Jr.,Welcome to the Monkey House,4.13
2173,Jim Gaffigan,Dad Is Fat,3.76
2174,David McCullough,Truman,4.15
2175,Ron Chernow,Alexander Hamilton,4.26
2176,"Dr. Seuss, Various",The Cat in the Hat and Other Dr. Seuss Favorites,4.41
2177,"Nikolai Gogol, Robert A. Maguire",Dead Souls,3.98
2178,Elle Kennedy,"The Deal (Off-Campus, #1)",4.3
2179,Kiera Cass,"The Crown (The Selection, #5)",3.8
2180,David Baldacci,"Zero Day (John Puller, #1)",3.99
2181,"Arlene Mosel, Blair Lent",Tikki Tikki Tembo,4.21
2182,L.J. Smith,"Night World, No. 1 (Night World, #1-3)",4.04
2183,Tina Reber,"Love Unscripted (Love, #1)",4.04
2184,James Patterson,"Pop Goes the Weasel (Alex Cross, #5)",3.98
2185,Penelope Douglas,"Bully (Fall Away, #1)",4.15
2186,Alison Weir,The Six Wives of Henry VIII,4.1
2187,"Yevgeny Zamyatin, Clarence Brown",We,3.95
2188,Barbara Kingsolver,Pigs in Heaven,3.97
2189,John Scalzi,"The Ghost Brigades (Old Man's War, #2)",4.09
2190,Alan Paton,"Cry, the Beloved Country",3.87
2191,"Brian Froud, Alan Lee",Faeries,3.89
2192,Gregory Maguire,Confessions of an Ugly Stepsister,3.51
2193,Nick Hornby,How to Be Good,3.18
2194,Cassandra Clare,"Lady Midnight (The Dark Artifices, #1)",4.47
2195,Cornelia Funke,"Inkdeath (Inkworld, #3)",3.93
2196,Isaac Asimov,Foundation's Edge (Foundation #4),4.08
2197,Thomas Hardy,Jude the Obscure,3.8
2198,David Eddings,"Queen of Sorcery (The Belgariad, #2)",4.13
2199,Shirley Jackson,The Lottery and Other Stories,4.06
2200,Margaret Peterson Haddix,"Into the Gauntlet (The 39 Clues, #10)",3.99
2201,Aprilynne Pike,"Wings (Wings, #1)",3.75
2202,Cecily von Ziegesar,"Gossip Girl (Gossip Girl, #1)",3.51
2203,Frederick Forsyth,The Odessa File,4.1
2204,Elizabeth Strout,The Burgess Boys,3.54
2205,Yuval Noah Harari,Sapiens: A Brief History of Humankind,4.41
